urls,problem_texts,constraints,input_texts,output_texts,tag
https://atcoder.jp/contests/abc061/tasks/abc061_c,"
Problem StatementThere is an empty array.
The following N operations will be performed to insert integers into the array.
In the i-th operation (1≤i≤N), b_i copies of an integer a_i are inserted into the array.
Find the K-th smallest integer in the array after the N operations.
For example, the 4-th smallest integer in the array \{1,2,2,3,3,3\} is 3.
","
Constraints
1≤N≤10^5 
1≤a_i,b_i≤10^5 
1≤K≤b_1…+…b_n
All input values are integers.

","
InputInput is given from Standard Input in the following format:  
N K
a_1 b_1
:  
a_N b_N

","
OutputPrint the K-th smallest integer in the array after the N operations.  
",Ad-Hoc
https://atcoder.jp/contests/arc006/tasks/arc006_2,,,,,Ad-Hoc
https://atcoder.jp/contests/arc009/tasks/arc009_2,,,,,Ad-Hoc
https://atcoder.jp/contests/abc125/tasks/abc125_d,"
Problem StatementThere are N integers, A_1, A_2, ..., A_N, arranged in a row in this order.
You can perform the following operation on this integer sequence any number of times:
Operation: Choose an integer i satisfying 1 \leq i \leq N-1. Multiply both A_i and A_{i+1} by -1.
Let B_1, B_2, ..., B_N be the integer sequence after your operations.
Find the maximum possible value of B_1 + B_2 + ... + B_N.
","
Constraints
All values in input are integers.
2 \leq N \leq 10^5
-10^9 \leq A_i \leq 10^9

","
InputInput is given from Standard Input in the following format:
N
A_1 A_2 ... A_N

","
OutputPrint the maximum possible value of B_1 + B_2 + ... + B_N.
",Ad-Hoc
https://atcoder.jp/contests/code-festival-2015-morning-middle/tasks/cf_2015_morning_easy_c,,,,,Ad-Hoc
https://atcoder.jp/contests/abc076/tasks/abc076_c,"
Problem StatementE869120 found a chest which is likely to contain treasure.
However, the chest is locked. In order to open it, he needs to enter a string S consisting of lowercase English letters.
He also found a string S', which turns out to be the string S with some of its letters (possibly all or none) replaced with ?.  
One more thing he found is a sheet of paper with the following facts written on it:  

Condition 1: The string S contains a string T as a contiguous substring.
Condition 2: S is the lexicographically smallest string among the ones that satisfy Condition 1.

Print the string S.
If such a string does not exist, print UNRESTORABLE.  
","
Constraints
1 \leq |S'|, |T| \leq 50
S' consists of lowercase English letters and ?.
T consists of lowercase English letters.

","
InputInput is given from Standard Input in the following format:
S
T'

","
OutputPrint the string S.
If such a string does not exist, print UNRESTORABLE instead.  
",Ad-Hoc
https://atcoder.jp/contests/arc043/tasks/arc043_a,,,,,Ad-Hoc
https://atcoder.jp/contests/abc048/tasks/abc048_b,"
Problem StatementYou are given nonnegative integers a and b (a ≤ b), and a positive integer x.
Among the integers between a and b, inclusive, how many are divisible by x?
","
Constraints
0 ≤ a ≤ b ≤ 10^{18}
1 ≤ x ≤ 10^{18}

","
InputThe input is given from Standard Input in the following format:
a b x

","
OutputPrint the number of the integers between a and b, inclusive, that are divisible by x.
",Ad-Hoc
https://atcoder.jp/contests/abc127/tasks/abc127_d,"
Problem StatementYou have N cards. On the i-th card, an integer A_i is written.
For each j = 1, 2, ..., M in this order, you will perform the following operation once:
Operation: Choose at most B_j cards (possibly zero). Replace the integer written on each chosen card with C_j.
Find the maximum possible sum of the integers written on the N cards after the M operations.
","
Constraints
All values in input are integers.
1 \leq N \leq 10^5
1 \leq M \leq 10^5
1 \leq A_i, C_i \leq 10^9
1 \leq B_i \leq N

","
InputInput is given from Standard Input in the following format:
N M
A_1 A_2 ... A_N
B_1 C_1
B_2 C_2
\vdots
B_M C_M

","
OutputPrint the maximum possible sum of the integers written on the N cards after the M operations.
",Ad-Hoc
https://atcoder.jp/contests/abc084/tasks/abc084_c,"
Problem StatementA railroad running from west to east in Atcoder Kingdom is now complete.
There are N stations on the railroad, numbered 1 through N from west to east.
Tomorrow, the opening ceremony of the railroad will take place.
On this railroad, for each integer i such that 1≤i≤N-1, there will be trains that run from Station i to Station i+1 in C_i seconds. No other trains will be operated.
The first train from Station i to Station i+1 will depart Station i S_i seconds after the ceremony begins. Thereafter, there will be a train that departs Station i every F_i seconds.
Here, it is guaranteed that F_i divides S_i.
That is, for each Time t satisfying S_i≤t and t％F_i=0, there will be a train that departs Station i t seconds after the ceremony begins and arrives at Station i+1 t+C_i seconds after the ceremony begins, where A％B denotes A modulo B, and there will be no other trains.
For each i, find the earliest possible time we can reach Station N if we are at Station i when the ceremony begins, ignoring the time needed to change trains.
","
Constraints
1≤N≤500
1≤C_i≤100
1≤S_i≤10^5
1≤F_i≤10
S_i％F_i=0
All input values are integers.

","
InputInput is given from Standard Input in the following format:
N
C_1 S_1 F_1
:
C_{N-1} S_{N-1} F_{N-1}

","
OutputPrint N lines. Assuming that we are at Station i (1≤i≤N) when the ceremony begins, if the earliest possible time we can reach Station N is x seconds after the ceremony begins, the i-th line should contain x.
",Ad-Hoc
https://atcoder.jp/contests/arc011/tasks/arc011_2,,,,,Ad-Hoc
https://atcoder.jp/contests/abc134/tasks/abc134_d,"
Problem StatementThere are N empty boxes arranged in a row from left to right.
The integer i is written on the i-th box from the left (1 \leq i \leq N).
For each of these boxes, Snuke can choose either to put a ball in it or to put nothing in it.
We say a set of choices to put a ball or not in the boxes is good when the following condition is satisfied:

For every integer i between 1 and N (inclusive), the total number of balls contained in the boxes with multiples of i written on them is congruent to a_i modulo 2.

Does there exist a good set of choices? If the answer is yes, find one good set of choices.
","
Constraints
All values in input are integers.
1 \leq N \leq 2 \times 10^5
a_i is 0 or 1.

","
InputInput is given from Standard Input in the following format:
N
a_1 a_2 ... a_N

","
OutputIf a good set of choices does not exist, print -1.
If a good set of choices exists, print one such set of choices in the following format:
M
b_1 b_2 ... b_M

where M denotes the number of boxes that will contain a ball, and b_1,\ b_2,\ ...,\ b_M are the integers written on these boxes, in any order.
",Ad-Hoc
https://atcoder.jp/contests/abc133/tasks/abc133_d,"
Problem StatementThere are N mountains in a circle, called Mountain 1, Mountain 2, ..., Mountain N in clockwise order. N is an odd number.
Between these mountains, there are N dams, called Dam 1, Dam 2, ..., Dam N. Dam i (1 \leq i \leq N) is located between Mountain i and i+1 (Mountain N+1 is Mountain 1).
When Mountain i (1 \leq i \leq N) receives 2x liters of rain, Dam i-1 and Dam i each accumulates x liters of water (Dam 0 is Dam N).
One day, each of the mountains received a non-negative even number of liters of rain.
As a result, Dam i (1 \leq i \leq N) accumulated a total of A_i liters of water.
Find the amount of rain each of the mountains received. We can prove that the solution is unique under the constraints of this problem.
","
Constraints
All values in input are integers.
3 \leq N \leq 10^5-1
N is an odd number.
0 \leq A_i \leq 10^9
The situation represented by input can occur when each of the mountains receives a non-negative even number of liters of rain.

","
InputInput is given from Standard Input in the following format:
N
A_1 A_2 ... A_N

","
OutputPrint N integers representing the number of liters of rain Mountain 1, Mountain 2, ..., Mountain N received, in this order.
",Ad-Hoc
https://atcoder.jp/contests/arc066/tasks/arc066_a,"
Problem StatementThere are N people, conveniently numbered 1 through N.
They were standing in a row yesterday, but now they are unsure of the order in which they were standing.
However, each person remembered the following fact: the absolute difference of the number of the people who were standing to the left of that person, and the number of the people who were standing to the right of that person.
According to their reports, the difference above for person i is A_i.
Based on these reports, find the number of the possible orders in which they were standing.
Since it can be extremely large, print the answer modulo 10^9+7.
Note that the reports may be incorrect and thus there may be no consistent order.
In such a case, print 0.
","
Constraints
1≦N≦10^5
0≦A_i≦N-1

","
InputThe input is given from Standard Input in the following format:
N
A_1 A_2 ... A_N

","
OutputPrint the number of the possible orders in which they were standing, modulo 10^9+7.
",Ad-Hoc
https://atcoder.jp/contests/abc051/tasks/abc051_c,"
Problem StatementDolphin resides in two-dimensional Cartesian plane, with the positive x-axis pointing right and the positive y-axis pointing up.
Currently, he is located at the point (sx,sy). In each second, he can move up, down, left or right by a distance of 1.
Here, both the x- and y-coordinates before and after each movement must be integers.
He will first visit the point (tx,ty) where sx < tx and sy < ty, then go back to the point (sx,sy), then visit the point (tx,ty) again, and lastly go back to the point (sx,sy).
Here, during the whole travel, he is not allowed to pass through the same point more than once, except the points (sx,sy) and (tx,ty).
Under this condition, find a shortest path for him.  
","
Constraints
-1000 ≤ sx < tx ≤ 1000 
-1000 ≤ sy < ty ≤ 1000 
sx,sy,tx and ty are integers.

","
InputThe input is given from Standard Input in the following format:
sx sy tx ty

","
OutputPrint a string S that represents a shortest path for Dolphin.
The i-th character in S should correspond to his i-th movement.
The directions of the movements should be indicated by the following characters:  

U: Up
D: Down
L: Left
R: Right

If there exist multiple shortest paths under the condition, print any of them.
",Ad-Hoc
https://atcoder.jp/contests/arc053/tasks/arc053_b,,,,,Ad-Hoc
https://atcoder.jp/contests/arc005/tasks/arc005_2,,,,,Ad-Hoc
https://atcoder.jp/contests/arc020/tasks/arc020_2,,,,,Ad-Hoc
https://atcoder.jp/contests/arc051/tasks/arc051_b,,,,,Ad-Hoc
https://atcoder.jp/contests/abc160/tasks/abc160_e,"
Problem StatementYou are going to eat X red apples and Y green apples.
You have A red apples of deliciousness p_1,p_2, \dots, p_A, B green apples of deliciousness q_1,q_2, \dots, q_B, and C colorless apples of deliciousness r_1,r_2, \dots, r_C.
Before eating a colorless apple, you can paint it red or green, and it will count as a red or green apple, respectively.
From the apples above, you will choose the apples to eat while making the sum of the deliciousness of the eaten apples as large as possible.
Find the maximum possible sum of the deliciousness of the eaten apples that can be achieved when optimally coloring zero or more colorless apples.
","
Constraints
1 \leq X \leq A \leq 10^5
1 \leq Y \leq B \leq 10^5
1 \leq C \leq 10^5
1 \leq p_i \leq 10^9
1 \leq q_i \leq 10^9
1 \leq r_i \leq 10^9
All values in input are integers.

","
InputInput is given from Standard Input in the following format:
X Y A B C
p_1 p_2 ... p_A
q_1 q_2 ... q_B
r_1 r_2 ... r_C

","
OutputPrint the maximum possible sum of the deliciousness of the eaten apples.
",Ad-Hoc
https://atcoder.jp/contests/abc039/tasks/abc039_d,,,,,Ad-Hoc
https://atcoder.jp/contests/arc041/tasks/arc041_b,,,,,Ad-Hoc
https://atcoder.jp/contests/apc001/tasks/apc001_b,"
Problem StatementYou are given two integer sequences of length N: a_1,a_2,..,a_N and b_1,b_2,..,b_N.
Determine if we can repeat the following operation zero or more times so that the sequences a and b become equal.
Operation: Choose two integers i and j (possibly the same) between 1 and N (inclusive), then perform the following two actions simultaneously:

Add 2 to a_i.
Add 1 to b_j.

","
Constraints
1 ≤ N ≤ 10 000
0 ≤ a_i,b_i ≤ 10^9 (1 ≤ i ≤ N)
All input values are integers.

","
InputInput is given from Standard Input in the following format:
N
a_1 a_2 .. a_N
b_1 b_2 .. b_N

","
OutputIf we can repeat the operation zero or more times so that the sequences a and b become equal, print Yes; otherwise, print No.
",Ad-Hoc
https://atcoder.jp/contests/abc178/tasks/abc178_e,"
Problem StatementThere are N points on the 2D plane, i-th of which is located on (x_i, y_i).
There can be multiple points that share the same coordinate.
What is the maximum possible Manhattan distance between two distinct points?
Here, the Manhattan distance between two points (x_i, y_i) and (x_j, y_j) is defined by |x_i-x_j| + |y_i-y_j|.
","
Constraints
2 \leq N \leq 2 \times 10^5
1 \leq x_i,y_i \leq 10^9
All values in input are integers.

","
InputInput is given from Standard Input in the following format:
N
x_1 y_1
x_2 y_2
:
x_N y_N

","
OutputPrint the answer.
",Ad-Hoc
https://atcoder.jp/contests/abc166/tasks/abc166_e,"
Problem Statement
You are the top spy of AtCoder Kingdom. To prevent the stolen secret from being handed to AlDebaran Kingdom, you have sneaked into the party where the transaction happens.
There are N attendees in the party, and they are given attendee numbers from 1 through N. The height of Attendee i is A_i.
According to an examination beforehand, you know that a pair of attendees satisfying the condition below will make the transaction.

The absolute difference of their attendee numbers is equal to the sum of their heights.

There are \frac{N(N-1)}{2} ways to choose two from the N attendees and make a pair. Among them, how many satisfy the condition above?
P.S.: We cannot let you know the secret.
","
Constraints

All values in input are integers.
2 \leq N \leq 2 \times 10^5
1 \leq A_i \leq 10^9\ (1 \leq i \leq N)

","
Input
Input is given from Standard Input in the following format:
N
A_1 A_2 \dots A_N

","
Output
Print the number of pairs satisfying the condition.
",Ad-Hoc
https://atcoder.jp/contests/abc191/tasks/abc191_c,"
Problem StatementWe have a grid with H rows and W columns. Let (i, j) be the square at the i-th row from the top and j-th column from the left.
Each square is painted black or white. If S_{i, j} is #, (i, j) is painted black; if S_{i, j} is ., (i, j) is painted white.
It is guaranteed that the outermost squares are white. That is, the squares that can be represented as (1, j), (H, j), (i, 1), or (i, W) are white.
Consider the part of the grid that is painted black as a polygon. How many sides does it have (at least)? 
Here, it is guaranteed that the part painted black forms a polygon without self-intersection, that is, the following holds:

at least one square is painted black;
we can travel between any two squares painted black by repeatedly moving up, down, left, or right while going through only black squares;
we can travel between any two squares painted white by repeatedly moving up, down, left, or right while going through only white squares. (Note that the outermost squares in the grid are all painted white.)

","
Constraints
3 \le H \le 10
3 \le W \le 10
S_{i, j} is # or ..
S_{1, j} and S_{H, j} are ..
S_{i, 1} and S_{i, W} are ..
The part painted black forms a polygon without self-intersection.

","
InputInput is given from Standard Input in the following format:
H W
S_{1, 1} S_{1, 2} S_{1, 3} \dots S_{1, W}
S_{2, 1} S_{2, 2} S_{2, 3} \dots S_{2, W}
S_{3, 1} S_{3, 2} S_{3, 3} \dots S_{3, W}
\hspace{40pt} \vdots
S_{H, 1} S_{H, 2} S_{H, 3} \dots S_{H, W}

","
OutputPrint the minimum number n such that the part painted black can be seen as an n-gon.
",Ad-Hoc
https://atcoder.jp/contests/abc140/tasks/abc140_d,"
Problem StatementThere are N people standing in a queue from west to east.
Given is a string S of length N representing the directions of the people.
The i-th person from the west is facing west if the i-th character of S is L, and east if that character of S is R.
A person is happy if the person in front of him/her is facing the same direction.
If no person is standing in front of a person, however, he/she is not happy.
You can perform the following operation any number of times between 0 and K (inclusive):
Operation: Choose integers l and r such that 1 \leq l \leq r \leq N, and rotate by 180 degrees the part of the queue: the l-th, (l+1)-th, ..., r-th persons. That is, for each i = 0, 1, ..., r-l, the (l + i)-th person from the west will stand the (r - i)-th from the west after the operation, facing east if he/she is facing west now, and vice versa.
What is the maximum possible number of happy people you can have?
","
Constraints
N is an integer satisfying 1 \leq N \leq 10^5.
K is an integer satisfying 1 \leq K \leq 10^5.
|S| = N
Each character of S is L or R.

","
InputInput is given from Standard Input in the following format:
N K
S

","
OutputPrint the maximum possible number of happy people after at most K operations.
",Ad-Hoc
https://atcoder.jp/contests/arc068/tasks/arc068_b,"
Problem StatementSnuke has decided to play a game using cards.
He has a deck consisting of N cards. On the i-th card from the top, an integer A_i is written.
He will perform the operation described below zero or more times, so that the values written on the remaining cards will be pairwise distinct. Find the maximum possible number of remaining cards. Here, N is odd, which guarantees that at least one card can be kept.
Operation: Take out three arbitrary cards from the deck. Among those three cards, eat two: one with the largest value, and another with the smallest value. Then, return the remaining one card to the deck.
","
Constraints
3 ≦ N ≦ 10^{5}
N is odd.
1 ≦ A_i ≦ 10^{5}
A_i is an integer.

","
InputThe input is given from Standard Input in the following format:
N
A_1 A_2 A_3 ... A_{N}

","
OutputPrint the answer.
",Ad-Hoc
https://atcoder.jp/contests/arc017/tasks/arc017_2,,,,,Ad-Hoc
https://atcoder.jp/contests/agc034/tasks/agc034_b,"
Problem StatementYou are given a string s consisting of A, B and C.
Snuke wants to perform the following operation on s as many times as possible:

Choose a contiguous substring of s that reads ABC and replace it with BCA.

Find the maximum possible number of operations.
","
Constraints
1 \leq |s| \leq 200000
Each character of s is A, B and C.

","
InputInput is given from Standard Input in the following format:
s

","
OutputFind the maximum possible number of operations.
",Ad-Hoc
https://atcoder.jp/contests/arc010/tasks/arc010_2,,,,,Ad-Hoc
https://atcoder.jp/contests/arc023/tasks/arc023_2,,,,,Ad-Hoc
https://atcoder.jp/contests/arc036/tasks/arc036_b,,,,,Ad-Hoc
https://atcoder.jp/contests/arc040/tasks/arc040_b,,,,,Ad-Hoc
https://atcoder.jp/contests/arc004/tasks/arc004_2,,,,,Ad-Hoc
https://atcoder.jp/contests/abc042/tasks/arc058_a,"
Problem StatementIroha is very particular about numbers. There are K digits that she dislikes: D_1, D_2, ..., D_K.
She is shopping, and now paying at the cashier.
Her total is N yen (the currency of Japan), thus she has to hand at least N yen to the cashier (and possibly receive the change).
However, as mentioned before, she is very particular about numbers. When she hands money to the cashier, the decimal notation of the amount must not contain any digits that she dislikes. Under this condition, she will hand the minimum amount of money.
Find the amount of money that she will hand to the cashier.
","
Constraints
 1 ≦ N < 10000
 1 ≦ K < 10
 0 ≦ D_1 < D_2 < … < D_K≦9
\{D_1,D_2,...,D_K\} ≠ \{1,2,3,4,5,6,7,8,9\}

","
InputThe input is given from Standard Input in the following format:
N K
D_1 D_2 … D_K

","
OutputPrint the amount of money that Iroha will hand to the cashier.
",Ad-Hoc
https://atcoder.jp/contests/agc048/tasks/agc048_a,"
Problem StatementGiven is a string S consisting of lowercase English letters.
Snuke can do the operation of swapping two adjacent characters in S.
For example, if S=agc, one operation can change it to gac (by swapping a and g) or acg (by swapping g and c).
Snuke wants to do this operation zero or more times so that atcoder <S holds lexicographically.
The definition of the lexicographic relation x< y

For strings x and y, it is said that x< y holds lexicographically if and only if one of the following conditions is satisfied:


 There exists an integer i (1 \leq i \leq \mathrm{min}(|x|,|y|)) such that the first i-1 characters of x and those of y are equal and the i-th character of x is strictly smaller than that of y in alphabetical order.
 |x|< |y| holds, and the first |x| characters of y are equal to x.


Determine whether the objective is achievable. If it is achievable, find the minimum number of operations needed.
Solve T test cases in an input file.
","
Constraints
1 \leq T \leq 100
1 \leq |S| \leq 1000
S is a string consisting of lowercase English letters.

","
InputInput is given from Standard Input in the following format.
The first line of input is as follows:
T

Then, T test cases follow, each of which is in the following format:
S

","
OutputFor each test case, print -1 if the objective is unachievable, and print the minimum number of operations needed if it is achievable.
Use one line for each case.
",Ad-Hoc
https://atcoder.jp/contests/abc001/tasks/abc001_3,,,,,Ad-Hoc
https://atcoder.jp/contests/code-festival-2017-quala/tasks/code_festival_2017_quala_c,"
Problem StatementWe have an H-by-W matrix.
Let a_{ij} be the element at the i-th row from the top and j-th column from the left.
In this matrix, each a_{ij} is a lowercase English letter.
Snuke is creating another H-by-W matrix, A', by freely rearranging the elements in A.
Here, he wants to satisfy the following condition:

Every row and column in A' can be read as a palindrome.

Determine whether he can create a matrix satisfying the condition.
","
NoteA palindrome is a string that reads the same forward and backward.
For example, a, aa, abba and abcba are all palindromes, while ab, abab and abcda are not.
","
Constraints
1 ≤ H, W ≤ 100
a_{ij} is a lowercase English letter.

","
InputInput is given from Standard Input in the following format:
H W
a_{11}a_{12}...a_{1W}
:
a_{H1}a_{H2}...a_{HW}

",Ad-Hoc
https://atcoder.jp/contests/abc176/tasks/abc176_e,"
Problem StatementWe have a two-dimensional grid with H \times W squares. There are M targets to destroy in this grid - the position of the i-th target is \left(h_i, w_i \right).
Takahashi will choose one square in this grid, place a bomb there, and ignite it. The bomb will destroy all targets that are in the row or the column where the bomb is placed. It is possible to place the bomb at a square with a target.
Takahashi is trying to maximize the number of targets to destroy. Find the maximum number of targets that can be destroyed.
","
Constraints
All values in input are integers.
1 \leq H, W \leq 3 \times 10^5
1 \leq M \leq \min\left(H\times W, 3 \times 10^5\right)
1 \leq h_i \leq H
1 \leq w_i \leq W
\left(h_i, w_i\right) \neq \left(h_j, w_j\right) \left(i \neq j\right)

","
InputInput is given from Standard Input in the following format:
H W M
h_1 w_1
\vdots
h_M w_M

","
OutputPrint the answer.
",Ad-Hoc
https://atcoder.jp/contests/arc019/tasks/arc019_2,,,,,Ad-Hoc
https://atcoder.jp/contests/arc074/tasks/arc074_a,"
Problem StatementThere is a bar of chocolate with a height of H blocks and a width of W blocks.
Snuke is dividing this bar into exactly three pieces.
He can only cut the bar along borders of blocks, and the shape of each piece must be a rectangle.
Snuke is trying to divide the bar as evenly as possible.
More specifically, he is trying to minimize S_{max} - S_{min}, where S_{max} is the area (the number of blocks contained) of the largest piece, and S_{min} is the area of the smallest piece.
Find the minimum possible value of S_{max} - S_{min}.
","
Constraints
2 ≤ H, W ≤ 10^5

","
InputInput is given from Standard Input in the following format:
H W

","
OutputPrint the minimum possible value of S_{max} - S_{min}.
",Ad-Hoc
https://atcoder.jp/contests/diverta2019-2/tasks/diverta2019_2_c,"
Problem StatementThere are N integers, A_1, A_2, ..., A_N, written on a blackboard.
We will repeat the following operation N-1 times so that we have only one integer on the blackboard.

Choose two integers x and y on the blackboard and erase these two integers. Then, write a new integer x-y.

Find the maximum possible value of the final integer on the blackboard and a sequence of operations that maximizes the final integer.
","
Constraints
2 \leq N \leq 10^5
-10^4 \leq A_i \leq 10^4
All values in input are integers.

","
InputInput is given from Standard Input in the following format:
N
A_1 A_2 ... A_N

","
OutputPrint the maximum possible value M of the final integer on the blackboard, and a sequence of operations x_i, y_i that maximizes the final integer, in the format below.
Here x_i and y_i represent the integers x and y chosen in the i-th operation, respectively.
If there are multiple sequences of operations that maximize the final integer, any of them will be accepted.
M
x_1 y_1
:
x_{N-1} y_{N-1}

",Ad-Hoc
https://atcoder.jp/contests/agc014/tasks/agc014_b,"
Problem StatementTakahashi is not good at problems about trees in programming contests, and Aoki is helping him practice.
First, Takahashi created a tree with N vertices numbered 1 through N, and wrote 0 at each edge.
Then, Aoki gave him M queries. The i-th of them is as follows:

Increment the number written at each edge along the path connecting vertices a_i and b_i, by one.

After Takahashi executed all of the queries, he told Aoki that, for every edge, the written number became an even number.
However, Aoki forgot to confirm that the graph Takahashi created was actually a tree, and it is possible that Takahashi made a mistake in creating a tree or executing queries.
Determine whether there exists a tree that has the property mentioned by Takahashi.
","
Constraints
2 ≤ N ≤ 10^5
1 ≤ M ≤ 10^5
1 ≤ a_i,b_i ≤ N
a_i ≠ b_i

","
InputInput is given from Standard Input in the following format:
N M
a_1 b_1
:
a_M b_M

","
OutputPrint YES if there exists a tree that has the property mentioned by Takahashi; print NO otherwise.
",Ad-Hoc
https://atcoder.jp/contests/agc024/tasks/agc024_b,"
Problem StatementYou are given a sequence (P_1,P_2,...,P_N) which is a permutation of the integers from 1 through N.
You would like to sort this sequence in ascending order by repeating the following operation:

Choose an element in the sequence and move it to the beginning or the end of the sequence.

Find the minimum number of operations required.
It can be proved that it is actually possible to sort the sequence using this operation.
","
Constraints
1 \leq N \leq 2\times 10^5
(P_1,P_2,...,P_N) is a permutation of  (1,2,...,N).
All values in input are integers.

","
InputInput is given from Standard Input in the following format:
N
P_1
:
P_N

","
OutputPrint the minimum number of operations required.
",Ad-Hoc
https://atcoder.jp/contests/arc014/tasks/arc014_3,,,,,Ad-Hoc
https://atcoder.jp/contests/agc024/tasks/agc024_c,"
Problem StatementThere is a sequence X of length N, where every element is initially 0. Let X_i denote the i-th element of X.
You are given a sequence A of length N. The i-th element of A is A_i. Determine if we can make X equal to A by repeating the operation below. If we can, find the minimum number of operations required.

Choose an integer i such that 1\leq i\leq N-1. Replace the value of X_{i+1} with the value of X_i plus 1.

","
Constraints
1 \leq N \leq 2 \times 10^5
0 \leq A_i \leq 10^9(1\leq i\leq N)
All values in input are integers.

","
InputInput is given from Standard Input in the following format:
N
A_1
:
A_N

","
OutputIf we can make X equal to A by repeating the operation, print the minimum number of operations required. If we cannot, print -1.
",Ad-Hoc
https://atcoder.jp/contests/arc024/tasks/arc024_2,,,,,Ad-Hoc
https://atcoder.jp/contests/code-festival-2014-qualb/tasks/code_festival_qualB_c,,,,,Ad-Hoc
https://atcoder.jp/contests/abc114/tasks/abc114_d,"
Problem StatementYou are given an integer N. Among the divisors of N! (= 1 \times 2 \times ... \times N), how many Shichi-Go numbers (literally ""Seven-Five numbers"") are there?
Here, a Shichi-Go number is a positive integer that has exactly 75 divisors.
","
NoteWhen a positive integer A divides a positive integer B, A is said to a divisor of B.
For example, 6 has four divisors: 1, 2, 3 and 6.
","
Constraints
1 \leq N \leq 100
N is an integer.

","
InputInput is given from Standard Input in the following format:
N

",Ad-Hoc
https://atcoder.jp/contests/arc069/tasks/arc069_b,"
Problem StatementSnuke, who loves animals, built a zoo.
There are N animals in this zoo. They are conveniently numbered 1 through N, and arranged in a circle.
The animal numbered i (2≤i≤N-1) is adjacent to the animals numbered i-1 and i+1. Also, the animal numbered 1 is adjacent to the animals numbered 2 and N, and the animal numbered N is adjacent to the animals numbered N-1 and 1.
There are two kinds of animals in this zoo: honest sheep that only speak the truth, and lying wolves that only tell lies.
Snuke cannot tell the difference between these two species, and asked each animal the following question: ""Are your neighbors of the same species?"" The animal numbered i answered s_i. Here, if s_i is o, the animal said that the two neighboring animals are of the same species, and if s_i is x, the animal said that the two neighboring animals are of different species.
More formally, a sheep answered o if the two neighboring animals are both sheep or both wolves, and answered x otherwise.
Similarly, a wolf answered x if the two neighboring animals are both sheep or both wolves, and answered o otherwise.
Snuke is wondering whether there is a valid assignment of species to the animals that is consistent with these responses. If there is such an assignment, show one such assignment. Otherwise, print -1.
","
Constraints
3 ≤ N ≤ 10^{5}
s is a string of length N consisting of o and x.

","
InputThe input is given from Standard Input in the following format:
N
s

","
OutputIf there does not exist an valid assignment that is consistent with s, print -1.
Otherwise, print an string t in the following format. The output is considered correct if the assignment described by t is consistent with s.

t is a string of length N consisting of S and W.
If t_i is S, it indicates that the animal numbered i is a sheep. If t_i is W, it indicates that the animal numbered i is a wolf.

",Ad-Hoc
https://atcoder.jp/contests/arc062/tasks/arc062_a,"
Problem StatementAtCoDeer the deer is seeing a quick report of election results on TV.
Two candidates are standing for the election: Takahashi and Aoki.
The report shows the ratio of the current numbers of votes the two candidates have obtained, but not the actual numbers of votes.
AtCoDeer has checked the report N times, and when he checked it for the i-th (1≦i≦N) time, the ratio was T_i:A_i.
It is known that each candidate had at least one vote when he checked the report for the first time.
Find the minimum possible total number of votes obtained by the two candidates when he checked the report for the N-th time.
It can be assumed that the number of votes obtained by each candidate never decreases.
","
Constraints
1≦N≦1000
1≦T_i,A_i≦1000 (1≦i≦N)
T_i and A_i (1≦i≦N) are coprime.
It is guaranteed that the correct answer is at most 10^{18}.

","
InputThe input is given from Standard Input in the following format:
N
T_1 A_1
T_2 A_2
:
T_N A_N

","
OutputPrint the minimum possible total number of votes obtained by Takahashi and Aoki when AtCoDeer checked the report for the N-th time.
",Ad-Hoc
https://atcoder.jp/contests/abc169/tasks/abc169_e,"
Problem StatementThere are N integers X_1, X_2, \cdots, X_N, and we know that A_i \leq X_i \leq B_i.
Find the number of different values that the median of X_1, X_2, \cdots, X_N can take.
","
NotesThe median of X_1, X_2, \cdots, X_N is defined as follows. Let x_1, x_2, \cdots, x_N be the result of sorting X_1, X_2, \cdots, X_N in ascending order.

If N is odd, the median is x_{(N+1)/2};
if N is even, the median is (x_{N/2} + x_{N/2+1}) / 2.

","
Constraints
2 \leq N \leq 2 \times 10^5
1 \leq A_i \leq B_i \leq 10^9
All values in input are integers.

","
InputInput is given from Standard Input in the following format:
N
A_1 B_1
A_2 B_2
:
A_N B_N

",Ad-Hoc
https://atcoder.jp/contests/digitalarts2012/tasks/digitalarts_2,,,,,Ad-Hoc
